tweet_id,sentiment
1213084822521950209,neutral
1213011490372038656,neutral
1213763702715043840,mixed
1213764224356421633,neutral
1212766574337150976,positive
1212723914494877698,neutral
1201007355607040001,neutral
1213183031638405123,neutral
1216001450964324354,neutral
1201438784782503936,neutral
1212232954430263297,neutral
1213727838341419009,positive
1201214643072581633,mixed
1213300467004059653,neutral
1214248761905623041,neutral
1212382670245642241,neutral
1204891010427424768,negative
1212992175773863941,mixed
1213072867866349568,neutral
1213026752131457024,negative
1212299954833821696,neutral
1213116081184890881,neutral
1212369380492886016,neutral
1213079961566879744,positive
1201064656355377153,neutral
1212857919575908352,negative
1212365635176546306,negative
1215377431525298178,mixed
1213091449564213248,neutral
1212574278434074624,positive
1212986014429581313,positive
1216185985572179968,mixed
1222891318772260864,positive
1215929256389292033,neutral
1213723647703232512,neutral
1213863586554138624,positive
1212743358420078593,negative
1203870938426593281,negative
1201087073190629376,neutral
1213067097401479168,neutral
1213164839989862400,neutral
1212828090239504388,neutral
1212877287709970439,neutral
1201208064617127936,positive
1213820557386498049,mixed
1212191681631510528,neutral
1201064076371214337,negative
1215999481621176323,neutral
1214241412679700480,positive
1213171585974071296,neutral
1214157341031043078,negative
1215963489442902016,mixed
1201411110806659072,positive
1213841906813341697,negative
1213849923738845184,neutral
1213121680299712513,neutral
1213759772182355970,neutral
1200958646718517248,positive
1214699402625003521,neutral
1213888380079104005,neutral
1213292154291990528,positive
1214110485546700800,positive
1201191296293056513,negative
1212453172230311936,negative
1214167326477766668,neutral
1212845460987269128,neutral
1222899659611328517,neutral
1212384275926048770,neutral
1212251269940809728,negative
1214057692676968448,neutral
1214227822601895936,negative
1212905806385098752,neutral
1212302537153495040,negative
1213815560343080960,neutral
1214694689137479681,negative
1201230170918735872,mixed
1212266419817271296,negative
1213220205909991424,neutral
1201217432255451137,neutral
1201142926253932544,positive
1201524133898719235,negative
1212274050250133504,neutral
1213107495033552896,negative
1212436888470130688,neutral
1216291898312339456,neutral
1212229972154302464,positive
1201392602815307776,positive
1212373400095735808,neutral
1214163541957197825,neutral
1212410573935259649,positive
1212348984955752448,neutral
1212255505449664512,neutral
1213849910468063237,neutral
1217526635529940992,mixed
1213756916297555969,positive
1216280877342384131,neutral
1213136728204165120,negative
1201059124047482880,neutral
1205276673576493056,neutral
1213161897920516102,positive
1222958323017732097,mixed
1210196488137183233,negative
1214756605671231488,neutral
1201430126610853888,neutral
1212300398020702209,neutral
1212455230442524672,neutral
1216271392599048192,positive
1213995983253757953,neutral
1213843515962200064,neutral
1212412992807211009,neutral
1214210801277513730,mixed
1212393598039265280,neutral
1212258782908207106,positive
1217530354996670464,mixed
1213122233499029506,neutral
1213176337353056257,negative
1212980002087751681,negative
1212728990672334848,positive
1201235152124436480,positive
1212270879926882305,negative
1201521729010581509,mixed
1212354737514958848,positive
1212788170783428609,neutral
1213094450471325696,neutral
1216280749512581121,neutral
1212389820540043270,negative
1212298713193992192,neutral
1213092410286333952,positive
1213819392275951616,neutral
1212996267716042752,negative
1212442121250037761,neutral
1204101581341429760,positive
1201457937291587584,neutral
1201495098099322880,neutral
1213191065613881351,negative
1213031469515341826,negative
1214863027734007809,negative
1213300816246915073,mixed
1222905708703817728,positive
1214830926452142081,neutral
1214128086696038401,neutral
1212598280162545664,neutral
1217404700263358464,positive
1212812609138962434,mixed
1200931821111910400,neutral
1214838695360188421,neutral
1212732729672044544,mixed
1213908125054623745,mixed
1214809286171385856,negative
1214139324519866369,mixed
